Player,Team,Contract_Dollars,Contract_Value
C.J. McCollum,Boston Celtics,"$3,302,849 ",3302849
Dennis Schroeder,Boston Celtics,"$2,616,965 ",2616965
Isaac Fotu,Boston Celtics,"$473,604 ",473604
JaVale McGee,Boston Celtics,"$11,000,000 ",11000000
Carmelo Anthony,Boston Celtics,"$20,571,468 ",20571468
Thomas Robinson,Boston Celtics,"$3,000,000 ",3000000
Jason Thompson,Boston Celtics,"$3,000,000 ",3000000
Russell Westbrook,Boston Celtics,"$17,769,374 ",17769374
J.R. Smith,Boston Celtics,"$5,000,000 ",5000000
Jeff Withey,Boston Celtics,"$885,120 ",885120
Eric Moreland,Boston Celtics,"$792,682 ",792682
David Wear,Boston Celtics,"$792,682 ",792682
Bismack Biyombo,Boston Celtics,"$9,733,352 ",9733352
Carl Landry,Boston Celtics,"$1,229,255 ",1229255
Mo Williams,New York Knicks,"$5,215,311 ",5215311
Trevor Booker,New York Knicks,"$1,069,509 ",1069509
Lester Hudson,New York Knicks,"$915,852 ",915852
Blake Griffin,New York Knicks,"$20,140,838 ",20140838
Patrick Patterson,New York Knicks,"$992,680 ",992680
Jabari Brown,New York Knicks,"$762,195 ",762195
Victor Oladipo,New York Knicks,"$6,722,262 ",6722262
Kaleb Tarczewski,New York Knicks,"$492,548 ",492548
George Hill,New York Knicks,"$8,000,000 ",8000000
Eric Maynor,New York Knicks,"$2,090,000 ",2090000
Robin Lopez,New York Knicks,"$5,000,000 ",5000000
Kris Humphries,New York Knicks,"$1,352,181 ",1352181
Earl Clark,New York Knicks,"$1,069,509 ",1069509
Dominic McGuire,New York Knicks,"$1,069,509 ",1069509
Tony Snell,New York Knicks,"$885,120 ",885120
Nerlens Noel,Philadelphia 76ers,"$4,497,821 ",4497821
Jabari Parker,Philadelphia 76ers,"$5,085,068 ",5085068
James Young,Philadelphia 76ers,"$1,897,003 ",1897003
Adreian Payne,Philadelphia 76ers,"$1,009,010 ",1009010
Ian Miller,Philadelphia 76ers,"$792,682 ",792682
Travis Wear,Philadelphia 76ers,"$792,682 ",792682
Jerian Grant,Philadelphia 76ers,"$1,257,700 ",1257700
Marcus Paige,Philadelphia 76ers,"$492,548 ",492548
Aaron Harrison,Philadelphia 76ers,"$956,900 ",956900
Avery Bradley,Philadelphia 76ers,"$8,447,500 ",8447500
Steven Adams,Philadelphia 76ers,"$4,600,000 ",4600000
Jordan Crawford,Philadelphia 76ers,"$4,153,846 ",4153846
Deron Williams,Philadelphia 76ers,"$22,331,135 ",22331135
Jared Sullinger,Philadelphia 76ers,"$4,500,000 ",4500000
Mouhammadou Jaiteh,Toronto Raptors,"$492,548 ",492548
Kawhi Leonard,Toronto Raptors,"$14,622,384 ",14622384
Andre Dawkins,Toronto Raptors,"$473,604 ",473604
Kevin Seraphin,Toronto Raptors,"$2,100,000 ",2100000
Ray McCallum,Toronto Raptors,"$1,750,000 ",1750000
TJ Warren,Toronto Raptors,"$1,866,300 ",1866300
Kosta Koufos,Toronto Raptors,"$1,223,166 ",1223166
Marc Gasol,Toronto Raptors,"$17,546,860 ",17546860
Marvin Williams,Toronto Raptors,"$1,352,181 ",1352181
Stanley Robinson,Toronto Raptors,"$473,604 ",473604
Nick Johnson,Toronto Raptors,"$1,545,080 ",1545080
John Henson,Toronto Raptors,"$6,000,000 ",6000000
Andre Drummond,Toronto Raptors,"$12,985,300 ",12985300
Brandon Jennings,Toronto Raptors,"$7,000,000 ",7000000
Francisco Garcia,Toronto Raptors,"$1,356,238 ",1356238
Ersan Ilyasova,Brooklyn Nets,"$8,400,000 ",8400000
Nikola Jokic,Brooklyn Nets,"$3,683,582 ",3683582
Bruno Caboclo,Brooklyn Nets,"$2,831,500 ",2831500
Julius Randle,Brooklyn Nets,"$3,442,600 ",3442600
Dirk Nowitzki,Brooklyn Nets,"$8,944,117 ",8944117
Joe Johnson,Brooklyn Nets,"$2,000,000 ",2000000
Jose Juan Barea,Brooklyn Nets,"$1,352,181 ",1352181
Nate Robinson,Brooklyn Nets,"$1,352,181 ",1352181
Kyle Vinales,Brooklyn Nets,"$883,800 ",883800
Amir Johnson,Brooklyn Nets,"$5,206,422 ",5206422
Willie Cauley-Stein,Brooklyn Nets,"$2,584,900 ",2584900
Louis Labeyrie,Brooklyn Nets,"$962,800 ",962800
Dion Waiters,Brooklyn Nets,"$13,668,750 ",13668750
Rondae Hollis-Jefferson,Brooklyn Nets,"$1,112,800 ",1112800
Bogdan Bogdanovic,Brooklyn Nets,"$2,101,908 ",2101908
Kentavious Caldwell-Pope,Detroit Pistons,"$3,773,455 ",3773455
Tyler Stone,Detroit Pistons,"$792,682 ",792682
Mitch McGary,Detroit Pistons,"$1,345,739 ",1345739
Robert Upshaw,Detroit Pistons,"$492,548 ",492548
Tarik Black,Detroit Pistons,"$2,090,000 ",2090000
Jeff Teague,Detroit Pistons,"$8,000,000 ",8000000
Tristan Thompson,Detroit Pistons,"$14,622,384 ",14622384
Terran Petteway,Detroit Pistons,"$1,310,100 ",1310100
Serge Ibaka,Detroit Pistons,"$12,350,000 ",12350000
Corey Brewer,Detroit Pistons,"$2,091,192 ",2091192
Kemba Walker,Detroit Pistons,"$14,256,641 ",14256641
Ramon Sessions,Detroit Pistons,"$1,229,255 ",1229255
Jimmy Butler,Detroit Pistons,"$5,206,422 ",5206422
Tim Hardaway Jr.,Detroit Pistons,"$885,120 ",885120
Derrick Rose,Chicago Bulls,"$21,323,252 ",21323252
Danny Green,Chicago Bulls,"$6,684,518 ",6684518
Gary Harris,Chicago Bulls,"$3,818,500 ",3818500
Al Horford,Chicago Bulls,"$16,402,500 ",16402500
Joakim Noah,Chicago Bulls,"$11,115,000 ",11115000
Jordan Farmar,Chicago Bulls,"$3,000,000 ",3000000
Dorell Wright,Chicago Bulls,"$1,352,181 ",1352181
Tyler Zeller,Chicago Bulls,"$1,182,453 ",1182453
Nicolas Batum,Chicago Bulls,"$14,500,000 ",14500000
A.J. Price,Chicago Bulls,"$1,069,509 ",1069509
Sam Dower,Chicago Bulls,"$762,195 ",762195
Dario Saric,Chicago Bulls,"$2,329,069 ",2329069
Aaron Gordon,Indiana Pacers,"$4,085,795 ",4085795
Akil Mitchell,Indiana Pacers,"$473,604 ",473604
Cody Zeller,Indiana Pacers,"$5,455,564 ",5455564
Tyrone Wallace,Indiana Pacers,"$950,000 ",950000
Keifer Sykes,Indiana Pacers,"$1,343,300 ",1343300
Kobe Bryant,Indiana Pacers,"$3,450,000 ",3450000
Caris Lavert,Indiana Pacers,"$1,772,900 ",1772900
Enes Kanter,Indiana Pacers,"$14,257,356 ",14257356
Dwyane Wade,Indiana Pacers,"$8,200,000 ",8200000
Ryan Anderson,Indiana Pacers,"$10,927,000 ",10927000
